0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
18.0,17.0,84.0,89.0,89.0,108.0,147.0,128.0,163.0,176.0,275.0,301.0,249.0,250.0,282.0,379.0,325.0,439.0,339.0,386.0,369.0,488.0,381.0,478.0,418.0,516.0,465.0,450.0,461.0,572.0,550.0,507.0,474.0,521.0,519.0,522.0,556.0,553.0,542.0,578.0,583.0,547.0,601.0,601.0,614.0,625.0,621.0,664.0,655.0,654.0,675.0,667.0,658.0,716.0,705.0,730.0,737.0,737.0,762.0,759.0,781.0,783.0,796.0,785.0,825.0,818.0,843.0,836.0,845.0,857.0,866.0,893.0,876.0,896.0,912.0,917.0,926.0,937.0,939.0,961.0,974.0,978.0,993.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
19.0,19.0,49.0,64.0,124.0,110.0,158.0,173.0,222.0,175.0,214.0,276.0,267.0,291.0,391.0,318.0,344.0,393.0,458.0,367.0,471.0,379.0,380.0,397.0,435.0,464.0,450.0,471.0,445.0,485.0,512.0,507.0,517.0,504.0,537.0,524.0,542.0,533.0,561.0,553.0,552.0,552.0,590.0,609.0,621.0,581.0,624.0,645.0,644.0,645.0,677.0,672.0,684.0,718.0,718.0,752.0,717.0,760.0,752.0,768.0,778.0,769.0,806.0,815.0,826.0,809.0,861.0,832.0,849.0,860.0,884.0,870.0,875.0,904.0,902.0,909.0,933.0,943.0,958.0,958.0,960.0,973.0,987.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
19.0,16.0,48.0,93.0,119.0,147.0,125.0,177.0,250.0,251.0,256.0,312.0,235.0,334.0,285.0,304.0,334.0,386.0,438.0,357.0,407.0,621.0,383.0,415.0,560.0,427.0,428.0,455.0,424.0,552.0,535.0,483.0,513.0,508.0,512.0,522.0,545.0,545.0,548.0,528.0,579.0,588.0,602.0,599.0,596.0,616.0,635.0,658.0,649.0,696.0,658.0,676.0,650.0,690.0,704.0,711.0,693.0,748.0,763.0,747.0,766.0,781.0,787.0,794.0,815.0,825.0,808.0,841.0,843.0,857.0,864.0,876.0,890.0,909.0,911.0,930.0,935.0,937.0,943.0,965.0,963.0,977.0,984.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
21.0,20.0,52.0,79.0,109.0,116.0,200.0,180.0,146.0,184.0,296.0,192.0,240.0,259.0,261.0,301.0,304.0,382.0,341.0,431.0,364.0,368.0,377.0,454.0,437.0,516.0,453.0,434.0,433.0,459.0,493.0,486.0,488.0,502.0,512.0,533.0,502.0,550.0,538.0,570.0,598.0,587.0,597.0,619.0,609.0,616.0,630.0,643.0,648.0,644.0,647.0,667.0,687.0,693.0,700.0,720.0,729.0,747.0,737.0,750.0,762.0,782.0,782.0,812.0,793.0,809.0,822.0,838.0,836.0,870.0,863.0,878.0,873.0,902.0,918.0,904.0,930.0,938.0,953.0,957.0,963.0,979.0,988.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
18.0,17.0,72.0,113.0,123.0,120.0,180.0,194.0,258.0,204.0,279.0,239.0,283.0,277.0,262.0,273.0,331.0,333.0,388.0,389.0,375.0,389.0,552.0,423.0,415.0,436.0,435.0,450.0,478.0,467.0,475.0,521.0,506.0,511.0,520.0,507.0,491.0,528.0,581.0,568.0,547.0,605.0,609.0,584.0,614.0,592.0,609.0,652.0,618.0,643.0,626.0,682.0,682.0,712.0,698.0,713.0,721.0,746.0,721.0,763.0,768.0,760.0,788.0,798.0,799.0,827.0,840.0,829.0,871.0,859.0,870.0,881.0,887.0,895.0,921.0,935.0,930.0,958.0,944.0,967.0,965.0,988.0,988.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
20.0,20.0,48.0,82.0,86.0,138.0,152.0,209.0,201.0,284.0,241.0,264.0,273.0,262.0,286.0,362.0,420.0,419.0,442.0,402.0,395.0,400.0,369.0,386.0,409.0,407.0,501.0,491.0,437.0,444.0,492.0,538.0,482.0,510.0,505.0,501.0,504.0,543.0,546.0,561.0,573.0,548.0,579.0,599.0,601.0,611.0,658.0,652.0,651.0,674.0,672.0,696.0,660.0,720.0,717.0,694.0,721.0,746.0,736.0,775.0,753.0,796.0,812.0,824.0,794.0,802.0,845.0,824.0,868.0,862.0,861.0,884.0,880.0,890.0,911.0,917.0,929.0,950.0,963.0,960.0,969.0,981.0,998.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
20.0,18.0,43.0,79.0,106.0,101.0,178.0,211.0,220.0,217.0,181.0,212.0,367.0,310.0,290.0,353.0,351.0,334.0,333.0,429.0,555.0,526.0,399.0,415.0,417.0,462.0,448.0,502.0,444.0,467.0,519.0,511.0,542.0,516.0,506.0,519.0,519.0,537.0,551.0,558.0,583.0,574.0,589.0,582.0,608.0,622.0,645.0,640.0,644.0,641.0,645.0,657.0,706.0,686.0,704.0,714.0,718.0,745.0,760.0,751.0,775.0,790.0,778.0,801.0,796.0,815.0,825.0,833.0,839.0,852.0,864.0,855.0,896.0,891.0,918.0,916.0,942.0,929.0,946.0,964.0,971.0,982.0,991.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
17.0,20.0,56.0,92.0,96.0,113.0,132.0,153.0,177.0,264.0,210.0,208.0,306.0,319.0,301.0,288.0,310.0,341.0,381.0,376.0,387.0,378.0,383.0,409.0,432.0,424.0,428.0,529.0,438.0,548.0,551.0,517.0,505.0,521.0,527.0,536.0,527.0,544.0,544.0,530.0,569.0,602.0,610.0,582.0,622.0,651.0,650.0,649.0,669.0,629.0,665.0,653.0,692.0,712.0,708.0,703.0,739.0,741.0,759.0,743.0,779.0,788.0,782.0,795.0,799.0,831.0,814.0,845.0,864.0,852.0,847.0,878.0,883.0,896.0,914.0,920.0,929.0,947.0,952.0,964.0,968.0,981.0,994.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
20.0,22.0,56.0,79.0,173.0,137.0,199.0,155.0,203.0,230.0,297.0,346.0,250.0,299.0,293.0,293.0,375.0,326.0,386.0,545.0,370.0,423.0,384.0,396.0,407.0,580.0,447.0,554.0,470.0,450.0,469.0,539.0,501.0,506.0,499.0,526.0,527.0,520.0,538.0,583.0,586.0,574.0,581.0,629.0,603.0,647.0,629.0,648.0,664.0,679.0,652.0,656.0,704.0,696.0,728.0,745.0,725.0,740.0,762.0,765.0,751.0,768.0,790.0,784.0,808.0,827.0,813.0,854.0,861.0,846.0,856.0,884.0,888.0,907.0,910.0,897.0,927.0,943.0,945.0,965.0,968.0,986.0,989.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
19.0,22.0,55.0,76.0,92.0,125.0,166.0,153.0,161.0,191.0,224.0,229.0,261.0,282.0,284.0,300.0,337.0,352.0,343.0,353.0,466.0,480.0,387.0,482.0,407.0,561.0,437.0,556.0,453.0,479.0,538.0,492.0,511.0,534.0,530.0,505.0,528.0,551.0,543.0,544.0,562.0,577.0,580.0,607.0,620.0,587.0,658.0,636.0,658.0,662.0,659.0,677.0,677.0,719.0,697.0,732.0,709.0,710.0,740.0,767.0,768.0,763.0,792.0,793.0,793.0,832.0,817.0,863.0,839.0,850.0,889.0,870.0,880.0,898.0,914.0,913.0,931.0,945.0,959.0,955.0,967.0,984.0,986.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
18.0,19.0,67.0,100.0,96.0,142.0,150.0,216.0,168.0,213.0,278.0,226.0,334.0,265.0,330.0,302.0,435.0,333.0,351.0,369.0,377.0,523.0,496.0,422.0,405.0,550.0,427.0,436.0,506.0,530.0,455.0,460.0,509.0,481.0,510.0,509.0,548.0,539.0,572.0,544.0,587.0,566.0,584.0,607.0,608.0,608.0,619.0,648.0,631.0,695.0,706.0,707.0,705.0,697.0,692.0,702.0,706.0,734.0,735.0,724.0,791.0,782.0,801.0,777.0,803.0,804.0,833.0,837.0,848.0,870.0,869.0,875.0,897.0,891.0,906.0,918.0,934.0,944.0,947.0,963.0,965.0,982.0,988.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
