0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
13.0,13.0,25.0,45.0,67.0,82.0,120.0,117.0,161.0,164.0,202.0,211.0,227.0,241.0,254.0,275.0,297.0,300.0,342.0,382.0,389.0,394.0,399.0,427.0,481.0,511.0,497.0,549.0,554.0,587.0,598.0,625.0,612.0,638.0,678.0,664.0,725.0,713.0,774.0,782.0,784.0,769.0,823.0,833.0,840.0,857.0,850.0,873.0,867.0,881.0,909.0,912.0,925.0,911.0,942.0,957.0,968.0,973.0,973.0,990.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
6.0,8.0,24.0,59.0,85.0,85.0,107.0,130.0,153.0,154.0,174.0,205.0,225.0,247.0,289.0,282.0,316.0,351.0,376.0,352.0,412.0,404.0,428.0,459.0,470.0,498.0,506.0,514.0,552.0,549.0,625.0,608.0,588.0,656.0,663.0,683.0,706.0,754.0,747.0,782.0,776.0,830.0,830.0,806.0,823.0,882.0,857.0,858.0,884.0,893.0,890.0,921.0,931.0,935.0,928.0,963.0,966.0,966.0,972.0,995.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
10.0,7.0,25.0,67.0,72.0,96.0,100.0,121.0,152.0,169.0,178.0,196.0,238.0,282.0,280.0,281.0,342.0,325.0,361.0,345.0,390.0,404.0,442.0,423.0,463.0,510.0,543.0,535.0,573.0,586.0,595.0,609.0,618.0,633.0,680.0,662.0,696.0,705.0,760.0,766.0,790.0,788.0,823.0,833.0,812.0,835.0,863.0,884.0,872.0,883.0,911.0,919.0,914.0,938.0,944.0,945.0,960.0,972.0,975.0,990.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
8.0,8.0,36.0,34.0,67.0,81.0,108.0,132.0,155.0,151.0,195.0,189.0,215.0,252.0,277.0,288.0,310.0,329.0,363.0,346.0,397.0,394.0,405.0,472.0,484.0,501.0,511.0,525.0,567.0,547.0,600.0,595.0,644.0,647.0,669.0,671.0,709.0,731.0,739.0,766.0,783.0,805.0,798.0,819.0,848.0,854.0,858.0,857.0,876.0,887.0,886.0,924.0,921.0,926.0,935.0,939.0,965.0,971.0,966.0,988.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
9.0,10.0,31.0,54.0,74.0,78.0,115.0,130.0,142.0,148.0,170.0,219.0,218.0,269.0,264.0,289.0,337.0,327.0,366.0,398.0,385.0,407.0,431.0,468.0,477.0,478.0,502.0,549.0,496.0,574.0,597.0,626.0,634.0,647.0,685.0,690.0,722.0,724.0,746.0,759.0,786.0,834.0,832.0,827.0,842.0,865.0,847.0,874.0,882.0,886.0,904.0,913.0,920.0,921.0,943.0,951.0,955.0,979.0,981.0,988.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
7.0,8.0,32.0,50.0,71.0,97.0,103.0,115.0,135.0,168.0,208.0,214.0,235.0,255.0,261.0,305.0,292.0,328.0,353.0,362.0,403.0,408.0,432.0,466.0,454.0,471.0,506.0,555.0,583.0,569.0,580.0,600.0,631.0,604.0,684.0,697.0,694.0,734.0,714.0,779.0,793.0,805.0,823.0,836.0,839.0,861.0,856.0,895.0,907.0,889.0,888.0,911.0,926.0,938.0,942.0,943.0,967.0,968.0,972.0,989.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
10.0,18.0,30.0,52.0,88.0,103.0,102.0,136.0,155.0,167.0,194.0,218.0,219.0,239.0,292.0,311.0,313.0,312.0,359.0,367.0,380.0,416.0,457.0,455.0,461.0,479.0,546.0,517.0,546.0,572.0,613.0,598.0,608.0,655.0,680.0,656.0,724.0,737.0,755.0,769.0,805.0,812.0,799.0,819.0,838.0,855.0,863.0,887.0,895.0,893.0,895.0,901.0,902.0,948.0,958.0,947.0,957.0,970.0,980.0,994.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
20.0,7.0,31.0,48.0,61.0,82.0,91.0,130.0,151.0,152.0,200.0,211.0,225.0,235.0,279.0,280.0,310.0,331.0,344.0,378.0,405.0,408.0,433.0,444.0,473.0,481.0,477.0,523.0,562.0,577.0,580.0,619.0,641.0,622.0,655.0,696.0,721.0,759.0,745.0,774.0,783.0,806.0,817.0,819.0,837.0,852.0,858.0,855.0,902.0,914.0,904.0,890.0,922.0,933.0,936.0,946.0,956.0,972.0,971.0,991.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
8.0,8.0,33.0,58.0,80.0,90.0,106.0,141.0,157.0,161.0,208.0,201.0,220.0,236.0,286.0,290.0,311.0,322.0,362.0,363.0,429.0,408.0,408.0,458.0,480.0,507.0,490.0,531.0,533.0,571.0,610.0,608.0,652.0,657.0,669.0,703.0,708.0,744.0,767.0,771.0,796.0,815.0,806.0,823.0,844.0,853.0,847.0,859.0,878.0,896.0,891.0,917.0,914.0,925.0,936.0,950.0,961.0,971.0,979.0,987.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
9.0,13.0,27.0,58.0,58.0,85.0,107.0,134.0,157.0,172.0,162.0,213.0,224.0,242.0,292.0,273.0,290.0,331.0,338.0,394.0,404.0,425.0,454.0,419.0,476.0,488.0,483.0,518.0,559.0,569.0,608.0,604.0,651.0,640.0,685.0,669.0,717.0,698.0,745.0,752.0,796.0,819.0,826.0,821.0,859.0,851.0,838.0,860.0,864.0,901.0,902.0,901.0,920.0,935.0,950.0,946.0,963.0,980.0,968.0,990.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
