0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
9.76,33.76,48.38,54.44,95.74,98.86,135.1,112.48,178.84,129.22,159.98,158.02,153.02,269.84,164.28,210.78,164.66,334.76,243.32,195.52,211.28,239.7,311.88,261.0,352.38,227.78,148.12,144.9,124.42,161.14,298.34,286.56,240.6,91.3,219.02,168.44,197.88,224.48,174.54,199.06,88.26,155.18,178.44,43.08,134.84,103.64,84.52,50.08,65.88,4.68,3.96,5.2,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.6,19.52,36.64,49.94,70.44,70.36,104.64,87.1,111.44,162.5,172.1,153.12,167.48,125.54,208.18,225.98,179.6,209.5,235.72,183.36,236.5,274.88,187.18,413.2,265.7,245.02,245.16,213.54,157.32,337.62,129.12,208.36,134.86,78.16,94.2,232.7,239.14,191.88,182.56,166.94,173.38,120.8,121.42,25.4,90.72,75.74,18.64,67.24,25.4,2.08,2.04,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.28,25.54,37.86,52.28,78.36,108.74,102.54,123.52,136.06,118.88,101.1,142.64,205.96,133.9,181.8,113.62,238.32,196.36,183.9,199.92,207.78,232.14,185.84,198.24,157.12,203.24,345.1,122.16,148.36,167.2,233.34,207.5,225.88,96.66,249.18,196.34,137.76,70.88,112.98,120.26,121.34,116.02,141.68,107.48,82.56,25.2,28.24,32.72,19.0,3.8,2.12,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.22,25.64,42.46,23.74,46.2,59.4,63.62,105.92,73.14,98.38,114.3,85.64,201.42,178.34,196.32,226.58,167.06,154.52,165.42,250.86,218.3,202.86,208.3,148.68,149.44,314.06,164.56,181.98,262.0,155.68,272.6,225.92,255.24,128.48,221.54,103.34,70.42,175.52,51.92,49.54,42.24,114.64,29.96,14.84,21.52,8.12,2.4,4.88,2.48,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.72,22.0,31.94,39.0,35.56,58.06,75.9,87.48,110.34,103.5,77.12,126.0,126.94,92.98,210.32,101.38,162.14,144.6,118.78,123.5,200.38,143.18,174.7,111.76,248.42,157.04,253.76,131.44,271.76,219.46,228.8,199.24,208.38,53.22,189.64,210.04,50.34,152.28,135.56,49.0,101.84,24.28,56.24,55.56,17.96,40.24,18.52,0.88,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.12,34.54,34.04,35.74,46.18,59.28,49.26,85.7,126.66,69.82,106.74,133.3,128.98,101.04,144.16,147.38,90.94,156.96,164.16,78.0,162.92,234.62,175.9,155.14,119.12,286.58,52.98,117.42,74.52,142.5,204.52,150.06,43.78,70.04,159.56,186.48,157.6,48.42,78.08,34.42,40.18,47.84,27.12,19.24,27.48,33.36,1.6,0.0,0.2,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.4,26.96,59.06,24.8,72.1,50.04,53.56,59.42,77.52,49.9,103.22,159.76,177.9,165.1,63.74,108.46,156.52,115.28,70.94,221.74,250.46,200.5,159.36,88.9,309.92,121.24,67.16,117.02,90.34,44.06,176.28,76.38,75.72,150.62,37.66,106.9,99.42,95.76,104.38,100.36,69.64,67.26,13.0,2.72,7.52,23.84,0.0,0.44,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.64,17.36,33.42,29.68,30.12,83.08,30.26,47.42,93.22,80.28,30.08,125.12,120.5,168.36,140.0,238.44,82.96,117.22,145.36,54.76,95.76,152.82,74.58,292.82,147.2,99.64,134.14,204.66,47.6,73.58,49.38,50.42,87.54,47.56,152.14,53.42,85.7,70.24,101.52,15.68,13.18,19.38,30.36,2.76,1.36,0.68,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,18.06,22.4,41.68,18.42,74.28,21.64,59.22,69.22,137.44,46.96,58.96,148.4,93.66,98.44,172.12,168.5,169.82,159.92,134.08,117.82,143.42,159.3,239.5,132.92,36.04,239.52,144.8,115.0,56.26,35.92,102.24,143.8,157.22,145.86,104.88,92.74,21.6,17.8,72.64,20.84,4.32,2.6,0.04,0.28,0.28,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.4,16.84,30.02,40.66,55.46,33.14,65.88,34.34,29.3,68.18,75.52,97.84,38.74,41.92,124.04,57.62,89.78,133.98,215.28,124.74,91.3,73.12,152.38,94.0,164.98,126.36,45.84,104.02,142.2,168.0,113.54,94.72,32.66,24.34,70.14,34.32,113.7,63.94,10.06,5.0,27.08,4.56,1.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
