0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
52.14,53.9,52.82,53.34,51.84,53.32,53.8,53.36,52.54,53.38,52.24,51.78,53.02,52.74,53.36,51.9,54.6,52.76,52.98,52.68,54.38,52.9,52.36,51.88,53.32,51.44,52.48,53.16,52.24,52.76,54.3,52.8,51.9,52.84,55.04,52.5,52.66,53.3,53.38,53.6,52.58,52.7,52.72,53.98,52.48,52.8,52.18,52.78,54.0,53.1,53.78,53.5,52.22,51.26,52.06,53.3,50.96,53.62,51.14,52.8,54.04,52.46,52.38,52.88,52.3,53.0,54.04,51.58,53.54,50.78,53.4,52.92,52.16,53.9,52.16,53.16,54.24,52.3,52.56,53.78,53.88,51.66,51.64,52.98,51.64,51.08,51.92,51.2,53.5,53.46,52.34,53.22,49.82,51.18,49.6,46.88,45.88,41.0,34.62,18.84
82.42,79.8,83.72,81.04,81.3,82.66,80.84,80.82,79.98,79.62,81.46,82.2,82.34,81.72,83.02,80.42,80.7,79.94,79.96,80.42,81.34,81.92,80.88,81.92,78.78,81.32,81.5,78.84,79.7,80.56,83.38,79.14,85.04,80.26,80.96,84.2,81.94,81.14,80.26,80.28,80.24,79.7,79.9,86.04,81.72,80.84,83.36,83.16,82.18,81.48,81.06,80.06,83.36,85.78,80.82,82.32,80.66,84.94,79.64,81.74,82.94,81.4,81.88,81.84,82.66,79.62,80.74,81.56,83.12,82.74,80.58,83.2,81.0,81.64,81.5,84.44,83.86,81.22,79.66,79.28,85.64,81.36,80.1,84.54,81.98,81.52,81.34,78.78,80.98,83.48,80.28,82.16,81.34,78.8,77.02,71.38,66.16,62.52,48.74,18.64
106.82,106.1,108.5,109.9,111.22,110.2,107.66,106.72,108.28,107.18,108.22,108.2,108.86,107.08,107.18,110.5,107.5,107.72,105.18,108.84,110.38,110.32,107.22,110.24,106.9,109.86,107.86,111.7,105.86,109.1,112.02,109.12,110.6,106.94,107.94,108.76,109.16,110.32,106.98,107.52,104.92,107.66,104.18,107.48,112.2,103.78,105.24,107.92,109.46,108.12,109.94,105.0,103.5,113.44,110.48,111.22,106.58,103.22,106.08,108.36,111.9,107.92,111.66,107.4,112.24,108.14,105.3,110.16,106.2,109.46,109.1,107.98,108.26,108.94,110.38,112.62,103.76,111.56,106.78,112.44,106.34,110.9,111.58,109.3,111.36,112.82,116.42,105.96,105.04,107.84,106.5,104.9,102.96,100.8,100.28,94.46,87.96,79.92,61.86,18.74
140.18,131.28,133.62,137.14,133.84,127.82,132.26,134.78,132.6,132.36,134.58,136.64,135.48,133.24,138.64,137.22,132.46,133.88,134.24,135.74,134.42,131.74,132.08,132.34,137.54,131.02,131.9,133.38,128.9,136.26,133.88,131.96,132.32,133.78,131.22,134.26,132.62,136.94,127.66,137.08,132.16,135.18,131.8,135.52,133.46,137.02,135.3,138.84,127.52,138.0,133.06,130.26,128.7,132.92,135.08,136.06,133.76,131.54,136.68,136.68,138.18,137.74,137.56,135.52,138.1,134.72,137.14,132.3,131.28,131.56,138.22,134.84,132.84,139.98,139.86,132.7,133.6,129.86,133.32,130.54,135.44,131.86,136.08,130.36,129.76,135.72,134.1,131.66,130.72,132.46,127.78,132.06,123.96,125.24,122.68,115.12,105.1,92.78,71.76,18.78
164.18,158.52,156.3,153.72,155.92,158.38,155.58,164.06,158.78,153.5,157.76,162.16,156.48,155.08,159.62,156.4,155.58,156.38,163.62,155.88,156.82,164.44,155.32,160.52,157.84,156.02,151.68,161.62,150.68,156.3,159.88,157.1,158.54,150.48,155.6,160.0,160.12,152.42,163.28,160.88,158.12,158.46,156.0,159.54,162.7,159.24,160.98,160.44,154.98,159.02,155.0,157.14,155.18,161.54,164.18,159.44,155.98,158.02,162.62,157.28,158.6,163.78,156.94,161.16,164.32,157.68,157.72,156.46,158.46,161.54,161.34,157.9,161.52,158.22,160.66,161.04,156.42,153.48,161.54,157.38,160.26,156.46,157.78,161.1,156.58,161.92,156.54,157.82,157.52,158.46,159.7,158.12,153.92,150.6,147.96,138.94,129.7,110.8,82.8,18.86
180.68,184.22,179.32,185.88,185.84,182.1,178.6,179.9,180.4,184.58,179.46,176.0,192.82,183.44,184.58,180.74,177.12,179.78,179.48,180.32,177.14,182.7,184.66,184.14,182.36,181.4,174.2,176.16,183.2,179.7,183.24,173.6,178.32,180.32,180.2,186.12,178.44,173.42,183.62,173.64,183.38,178.7,177.62,179.48,170.7,182.14,183.26,179.1,181.06,182.24,180.24,181.74,182.06,178.2,174.22,176.9,182.44,180.8,184.46,178.2,181.98,181.08,180.0,181.28,186.46,181.08,188.84,180.34,182.36,182.14,179.66,176.92,190.88,184.78,186.9,187.44,184.84,179.34,177.64,178.46,177.6,185.86,191.94,188.84,178.88,185.54,180.0,181.66,176.48,179.38,181.58,176.02,168.06,173.92,175.26,159.42,149.66,121.68,95.1,18.46
203.28,210.16,203.62,202.12,198.08,201.42,205.84,209.02,202.14,196.16,204.6,195.82,198.52,202.24,199.42,200.12,205.68,201.24,204.76,200.02,203.68,211.78,201.28,203.58,201.94,208.94,208.4,205.32,200.68,200.3,206.3,204.34,205.86,206.26,204.16,201.48,198.72,204.62,210.8,201.0,200.22,205.06,197.04,202.08,193.86,202.8,204.06,199.28,207.36,209.44,198.86,200.72,205.58,206.84,202.78,205.24,206.76,198.86,206.14,193.66,208.78,207.38,209.36,214.9,199.06,203.16,210.58,210.92,205.92,202.92,204.7,203.9,197.78,204.94,200.2,194.62,208.96,204.88,195.82,204.44,196.72,203.94,204.26,211.98,203.26,203.3,203.84,204.78,197.46,203.32,195.2,207.76,191.54,190.74,190.44,170.48,165.16,139.0,101.88,18.68
211.6,222.02,223.74,220.0,223.04,223.42,219.14,223.22,230.26,227.4,220.66,224.18,220.48,235.34,221.52,232.8,221.82,220.14,227.42,222.54,227.66,222.8,225.1,225.98,219.88,224.5,223.42,229.6,220.68,223.22,234.32,234.66,228.36,223.8,227.84,227.9,232.44,227.54,226.2,232.7,219.12,229.08,227.12,215.2,220.3,227.84,214.98,223.98,217.24,226.56,228.68,223.88,227.06,218.98,221.38,221.52,217.06,230.18,226.6,223.0,230.84,229.28,224.62,223.84,220.52,235.5,223.76,223.84,222.78,218.9,228.96,226.7,225.2,229.22,227.88,231.94,223.72,228.28,226.78,235.02,223.4,232.04,216.82,220.98,243.1,232.9,224.5,231.04,228.44,220.76,219.52,213.12,226.38,208.14,207.64,190.1,183.84,146.74,109.62,18.7
247.86,246.38,243.16,242.22,240.56,248.24,240.42,245.52,251.08,254.3,246.46,231.1,244.14,255.64,239.42,247.84,239.82,237.62,258.58,233.82,250.06,249.66,250.54,244.98,257.14,243.84,242.44,239.4,233.92,246.8,251.42,245.38,247.96,239.28,249.58,257.04,241.98,243.88,245.68,250.72,247.88,246.32,255.76,249.28,247.42,247.14,240.64,232.2,248.02,254.3,258.28,252.86,261.1,251.1,245.94,244.6,254.74,249.06,254.56,250.92,234.64,238.5,241.12,253.44,250.56,254.22,248.26,250.06,246.48,222.5,250.28,248.18,244.0,238.7,236.66,238.9,238.86,240.96,253.56,238.2,245.56,256.2,241.96,237.64,248.78,256.82,240.46,243.96,248.58,236.06,250.44,252.3,235.84,225.34,227.34,222.72,200.46,167.32,125.52,18.42
269.58,257.82,267.62,275.3,256.54,264.98,255.62,270.8,252.68,269.88,265.38,264.66,257.44,254.4,255.52,256.96,251.14,267.12,272.16,272.06,279.82,274.88,259.44,254.06,259.92,252.82,260.72,261.8,258.86,266.02,261.74,268.82,268.5,257.66,266.86,266.66,276.4,263.32,249.78,256.94,270.26,269.52,268.46,275.96,261.54,257.04,264.8,277.46,271.24,269.2,267.02,273.72,266.2,267.2,255.42,274.82,256.04,263.9,260.28,268.6,265.38,267.78,268.78,266.06,265.8,265.92,272.46,279.58,268.22,273.92,262.2,252.46,274.48,271.22,262.0,267.42,268.0,251.66,277.1,273.16,280.72,251.54,258.12,264.06,266.38,263.98,273.0,265.92,255.8,266.34,256.76,252.24,250.48,256.78,251.24,227.36,221.24,174.8,122.88,18.28
