0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
18.26,54.24,79.1,99.08,141.64,161.88,201.68,202.18,266.14,228.48,272.38,281.58,275.96,405.96,305.88,373.12,339.8,514.94,453.7,417.2,406.32,460.04,535.96,524.68,598.98,485.88,431.38,430.32,414.02,460.06,616.26,609.64,569.22,448.82,582.02,512.94,584.14,600.4,572.8,590.44,530.78,572.3,588.3,477.14,567.22,551.86,542.04,524.88,534.2,505.9,505.82,514.72,537.6,536.4,542.3,545.36,602.7,594.94,593.08,584.26,612.18,611.9,634.82,663.46,647.72,640.04,658.5,664.96,678.1,696.0,719.16,726.2,720.92,723.7,753.94,754.54,769.18,784.1,789.86,807.06,799.76,834.2,825.62,826.26,850.52,852.42,844.18,882.64,883.08,900.14,918.34,913.14,926.52,934.48,942.76,969.36,975.76,982.74,992.32,1000.0
18.96,55.52,76.3,106.24,131.4,141.7,180.06,181.2,215.2,271.48,294.46,283.2,317.08,289.14,359.08,391.0,363.84,392.2,440.18,402.58,460.44,498.38,440.1,659.82,523.7,489.52,534.78,505.72,442.1,625.14,444.42,525.32,468.8,434.84,459.9,601.52,608.16,584.32,582.88,576.82,582.28,558.58,555.72,463.54,545.36,537.54,515.08,535.74,516.34,508.86,511.06,526.98,545.22,543.18,572.46,575.06,593.0,580.92,606.66,613.18,622.64,605.24,640.78,647.84,625.9,688.56,693.06,692.16,701.2,698.88,723.6,726.44,741.0,747.06,755.44,785.38,778.0,804.22,788.96,812.2,834.98,840.76,838.78,868.0,852.34,877.2,885.06,887.78,902.7,906.78,911.76,928.44,945.52,957.36,958.94,976.44,975.2,985.72,1000.0,1000.0
18.4,50.66,78.74,113.52,147.94,181.92,187.54,221.48,240.04,242.02,238.58,280.16,344.12,300.2,351.24,286.1,443.54,381.24,390.16,442.34,443.44,481.52,434.96,474.2,426.6,480.94,622.88,434.42,460.5,468.54,586.62,544.42,569.58,472.34,602.82,583.1,539.12,480.72,507.92,552.28,554.76,557.26,565.58,552.98,541.0,512.26,515.58,520.12,518.76,529.44,532.84,526.0,562.7,564.0,557.48,561.52,579.48,619.14,612.14,608.4,634.3,639.8,656.0,659.66,684.16,676.76,708.28,705.3,722.46,717.28,734.78,745.42,755.42,761.76,761.18,771.22,802.58,805.22,805.6,837.62,834.12,853.82,843.44,864.16,862.8,874.42,866.82,899.06,898.74,923.06,935.0,950.44,949.0,966.32,960.14,979.94,990.94,1000.0,1000.0,1000.0
18.96,54.5,86.22,97.46,127.94,155.38,166.82,218.38,183.34,225.54,254.48,228.34,363.56,362.06,373.0,423.22,355.16,357.96,374.98,478.38,451.3,447.62,455.74,419.42,419.38,595.14,480.84,477.66,567.96,487.54,611.2,567.94,602.22,497.28,602.72,475.96,453.86,576.64,469.96,487.48,493.78,554.6,477.18,508.06,476.82,520.44,510.0,518.82,516.56,538.86,550.3,561.12,555.08,563.46,589.98,574.52,583.78,601.6,612.72,623.04,652.74,647.04,646.8,682.62,690.02,696.74,705.68,705.58,740.42,731.64,725.34,748.42,794.2,758.74,807.18,788.04,793.56,785.18,812.94,833.92,841.94,849.38,863.54,882.58,865.6,902.5,909.62,909.58,928.14,918.86,942.52,945.8,962.24,962.4,977.22,993.16,1000.0,1000.0,1000.0,1000.0
18.7,52.08,78.44,114.4,125.86,157.24,175.66,211.44,246.08,243.42,225.4,283.18,286.68,277.62,394.06,300.04,378.6,366.2,337.94,373.12,428.34,393.1,440.08,393.56,534.48,456.56,573.9,444.22,603.76,576.16,582.32,568.16,585.8,439.88,572.88,591.24,439.24,571.96,563.48,497.12,549.2,512.32,528.36,528.32,510.1,523.46,516.44,521.24,543.8,535.2,576.26,541.22,569.0,586.24,602.26,589.28,603.32,634.4,620.44,643.8,633.76,666.12,659.3,694.92,679.14,711.42,695.32,734.42,722.3,751.16,739.88,751.92,763.82,768.66,806.06,795.98,818.2,840.5,831.56,845.82,869.36,867.48,862.16,866.2,891.0,894.6,917.86,919.38,940.0,937.7,956.82,964.52,973.72,970.7,990.48,1000.0,1000.0,1000.0,1000.0,1000.0
19.54,58.12,81.94,111.98,134.12,157.3,169.4,214.2,264.1,225.36,275.86,293.46,310.3,291.56,352.84,363.72,309.92,395.32,399.4,345.68,420.66,496.88,446.52,450.04,435.36,593.86,390.1,440.26,417.66,473.6,573.94,520.72,418.88,472.78,558.32,579.66,571.02,475.08,534.58,488.06,516.96,524.4,514.74,511.38,516.44,522.58,542.04,540.44,527.02,548.5,535.36,609.8,582.82,604.48,579.8,581.58,628.92,625.44,620.8,651.14,656.46,676.28,722.0,668.6,699.8,694.98,708.32,728.26,714.04,746.56,747.12,791.58,774.8,801.0,786.46,835.88,827.26,817.7,853.66,822.84,855.34,891.32,894.26,887.78,894.56,914.7,921.22,922.86,943.04,949.72,962.16,970.02,976.62,989.72,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
20.4,55.26,104.3,100.44,157.74,150.72,189.56,202.74,230.74,213.64,282.96,342.6,363.8,367.34,280.44,319.74,377.0,348.06,331.62,482.26,528.2,468.34,435.0,397.02,602.72,449.8,392.5,433.36,428.46,398.78,560.3,438.7,461.94,557.04,452.88,541.26,543.86,541.14,550.92,549.0,533.36,533.56,519.38,541.66,531.5,522.62,547.5,536.32,532.16,541.96,569.86,601.48,583.2,590.88,614.9,629.18,657.82,630.16,651.22,667.18,681.14,673.9,692.26,688.6,704.48,705.3,735.66,757.6,747.3,768.42,763.3,764.44,804.44,783.7,811.96,838.3,818.06,859.72,851.14,854.3,836.8,859.5,896.2,904.78,905.74,915.24,931.84,941.78,950.42,959.64,964.02,977.22,990.02,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
20.44,48.52,84.0,99.18,123.34,190.6,164.08,205.84,236.46,255.06,208.02,310.64,317.16,366.92,352.82,471.5,329.8,377.3,397.18,327.2,378.62,433.14,359.18,593.26,462.56,448.68,473.02,540.68,400.08,437.96,434.2,432.04,474.8,464.1,567.02,490.4,533.3,530.9,550.76,497.92,482.48,510.62,518.42,510.36,520.9,526.74,539.86,549.58,572.26,607.62,615.2,577.32,593.86,619.88,619.26,627.8,656.02,654.98,659.16,664.02,688.14,687.98,709.52,717.14,734.4,728.72,727.68,729.98,763.0,777.92,767.7,788.86,802.86,809.22,829.14,817.02,853.42,847.82,861.72,868.98,867.04,889.76,905.58,885.54,938.54,936.94,946.9,946.3,965.86,975.94,983.2,991.22,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
18.92,46.36,81.42,110.86,116.68,170.8,147.8,212.02,225.04,313.92,245.84,261.74,355.42,310.4,314.9,417.44,419.64,419.96,438.56,418.12,395.12,454.44,485.2,576.58,460.7,376.98,570.16,498.52,486.8,437.1,421.38,500.76,554.1,569.4,561.88,543.78,543.92,489.46,480.9,535.1,511.06,515.76,509.26,532.16,528.26,542.86,538.04,546.02,576.12,572.82,582.0,601.24,598.7,623.4,629.0,657.7,653.78,677.36,662.0,679.34,687.6,691.96,685.62,711.9,718.64,756.46,751.74,774.6,779.4,779.96,794.34,775.74,821.34,802.54,820.32,830.86,853.78,852.18,867.08,883.42,874.6,914.84,906.76,919.18,926.02,937.84,947.06,962.2,972.12,972.26,984.86,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
17.78,50.3,83.58,112.74,146.74,141.88,190.1,187.02,202.6,252.38,284.92,308.06,272.9,263.1,368.16,316.06,362.26,411.0,495.2,419.5,394.92,393.1,466.78,438.36,504.52,481.1,425.9,463.64,528.94,565.6,517.28,506.68,472.6,443.26,513.64,483.74,554.64,529.16,516.64,511.02,515.28,518.36,509.4,534.36,533.32,554.1,542.08,561.14,583.7,591.12,585.16,595.24,633.74,620.6,639.46,657.76,649.8,679.26,670.4,672.26,698.48,723.92,693.56,715.5,715.68,762.72,774.36,775.16,787.22,816.34,802.82,802.0,835.48,838.54,833.0,862.22,845.68,876.02,867.14,902.12,896.12,923.96,927.28,924.04,949.64,959.14,961.5,973.42,978.44,986.8,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
