0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
52.72,79.96,105.94,128.14,153.56,177.68,198.5,221.18,239.14,260.02,271.12,307.26,326.64,337.72,347.42,363.18,382.9,406.92,416.28,431.7,438.8,473.58,483.0,486.46,511.06,512.66,504.24,529.58,519.34,540.46,543.96,558.86,568.5,572.74,559.92,582.02,576.64,571.86,594.44,594.52,598.14,587.0,591.22,598.08,628.46,619.94,625.5,627.24,624.54,657.4,670.32,660.26,681.76,709.56,690.9,689.24,705.44,729.8,715.96,749.56,752.24,766.7,772.0,792.54,809.38,800.42,811.5,847.18,842.4,872.6,860.04,897.66,898.5,914.98,928.02,954.4,961.76,979.04,989.58,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
51.34,81.36,108.6,133.9,159.18,173.38,202.02,219.2,239.36,250.12,281.88,286.46,313.12,327.38,340.78,365.64,375.8,399.28,436.1,436.74,445.06,470.14,475.02,463.34,480.12,490.56,508.3,504.76,519.2,529.6,521.62,545.2,550.4,546.14,546.18,558.54,560.42,562.3,568.46,573.32,574.62,576.34,580.38,602.42,623.84,628.46,612.12,618.74,648.2,650.54,667.08,636.66,667.66,671.14,685.84,698.36,694.18,704.94,720.76,750.7,750.24,786.06,770.74,786.58,816.36,817.74,822.86,840.04,844.7,864.7,870.46,874.0,884.32,901.96,914.02,920.14,963.02,969.18,976.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
52.02,81.1,109.02,129.38,151.82,176.62,203.04,221.14,234.36,273.92,280.3,293.58,311.74,337.1,341.62,361.62,388.46,404.12,413.06,426.36,448.0,446.16,467.78,487.4,478.96,487.82,495.0,511.6,515.04,526.06,526.72,530.38,529.6,540.68,541.66,544.62,549.04,555.36,570.42,568.06,562.54,589.04,587.12,597.12,589.76,602.22,619.72,625.26,639.28,645.36,627.7,661.1,657.94,666.82,692.48,691.84,714.76,707.18,761.3,722.58,756.22,766.74,774.3,800.1,787.04,803.74,821.1,831.4,859.3,870.88,872.14,896.86,893.64,907.26,913.72,939.48,956.32,965.26,988.98,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
53.34,78.84,105.8,127.54,154.22,175.22,192.84,215.5,244.62,267.0,270.66,286.14,313.22,328.44,352.04,370.12,375.48,399.36,421.02,415.38,442.98,441.6,442.7,459.66,478.42,478.92,502.04,520.3,508.16,509.54,517.62,521.84,528.62,533.0,540.26,535.12,545.4,553.04,567.68,580.38,578.46,571.2,584.74,589.74,603.2,601.84,621.72,623.68,646.6,657.98,657.5,666.84,671.28,677.1,680.6,705.82,699.04,718.82,734.22,746.2,767.34,755.24,778.68,780.6,784.32,818.86,824.98,837.1,842.66,841.72,872.16,897.66,892.28,909.16,922.84,941.56,953.32,971.56,985.94,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
53.96,81.56,107.46,132.82,154.38,173.44,192.18,219.46,233.88,253.74,286.44,300.34,329.38,335.7,347.04,371.04,388.0,396.66,414.24,436.46,441.92,449.14,446.96,486.04,483.22,472.0,511.1,499.78,507.3,510.88,520.6,521.74,526.84,532.12,528.2,544.48,549.52,549.86,563.82,566.72,572.14,580.4,576.42,594.32,596.96,594.02,610.48,636.28,638.14,650.56,645.6,662.2,653.36,680.92,699.84,701.36,706.6,719.32,733.62,722.46,744.52,750.36,776.7,771.7,799.72,818.84,832.78,839.72,840.5,859.96,871.78,889.02,882.78,892.36,927.54,944.42,945.3,972.92,983.74,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
52.18,81.2,110.82,131.4,150.68,179.18,192.56,215.04,237.64,254.64,272.9,289.48,307.28,324.56,353.72,373.78,388.02,389.44,413.92,426.14,424.64,450.88,460.64,466.68,478.24,494.14,485.06,506.86,507.8,508.14,523.98,519.38,519.04,526.56,524.4,533.14,540.32,545.08,560.04,562.02,565.22,574.18,577.94,594.7,597.18,602.8,609.54,618.88,616.08,643.36,658.16,652.04,669.96,687.94,692.36,701.42,705.74,722.18,733.76,741.32,765.72,753.64,777.32,778.04,807.22,808.16,808.46,831.4,846.58,844.52,879.54,881.24,901.78,905.56,937.36,951.04,955.14,974.7,986.62,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
52.86,80.48,105.98,129.18,150.86,178.88,196.2,213.22,234.86,252.88,263.62,281.98,309.78,321.74,338.66,362.14,383.64,395.16,426.36,420.1,434.68,445.32,460.78,470.14,481.66,479.72,493.4,506.72,501.56,509.1,506.78,519.1,521.82,522.78,534.6,537.0,542.16,548.72,555.12,558.46,575.02,569.18,588.78,590.24,604.3,598.24,624.86,618.4,629.88,647.58,652.46,654.64,660.74,687.88,683.84,714.58,709.14,717.84,725.1,739.22,753.36,759.24,765.76,789.76,800.34,814.34,812.56,831.46,845.36,863.3,864.24,894.5,890.16,917.22,919.66,938.5,959.7,973.2,983.42,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
50.86,79.84,107.18,131.16,149.7,173.32,187.12,215.3,245.5,263.94,273.38,292.5,301.5,321.98,359.9,353.06,399.0,389.86,423.68,421.76,431.66,445.8,454.48,481.62,482.54,493.72,501.3,499.2,496.34,514.98,512.92,516.64,518.2,522.3,531.26,537.0,536.88,540.18,551.2,573.14,566.22,575.48,578.86,590.36,601.18,600.0,607.4,619.18,637.94,644.1,645.68,662.38,673.04,668.96,676.98,700.18,715.34,712.82,715.16,732.9,760.94,759.98,778.56,782.64,798.9,811.8,836.4,833.52,836.1,860.98,878.26,877.92,900.04,919.12,925.6,946.14,957.34,964.58,989.34,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
51.74,79.84,105.94,133.94,148.02,179.28,193.78,221.9,231.04,261.1,275.1,305.22,311.7,329.3,351.36,354.24,380.26,408.64,407.8,409.08,438.18,433.94,452.9,472.32,477.94,492.8,499.26,500.78,491.74,505.66,509.22,511.7,513.56,524.44,531.26,540.94,539.18,539.3,557.44,558.34,572.64,575.3,580.64,587.38,594.04,605.54,631.28,630.62,642.9,644.1,653.42,656.42,676.92,681.7,694.68,687.08,716.58,712.36,744.58,742.86,756.8,778.94,769.74,782.82,812.76,810.58,835.88,832.42,848.12,866.14,874.02,883.5,899.8,913.5,936.34,935.92,953.66,966.88,983.7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
54.5,82.86,106.98,129.96,155.12,176.32,201.16,217.62,246.94,254.88,275.04,293.02,307.66,343.08,344.72,356.78,377.36,398.28,411.54,428.82,442.5,449.34,466.02,474.76,472.4,488.08,485.84,503.36,502.62,509.54,511.54,518.96,521.5,521.02,530.76,529.96,539.06,546.1,550.94,555.94,558.92,580.5,584.4,605.98,595.4,604.3,610.66,634.76,637.24,642.96,651.64,666.46,672.68,685.1,688.86,707.98,705.4,723.2,732.56,730.58,754.46,763.9,789.48,785.8,809.64,807.1,825.48,839.9,839.02,858.46,880.18,881.06,898.88,914.26,923.46,940.22,959.22,964.94,985.34,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
