0,1,2,3,4,5,6,7,8,9
10.78,12.78,15.48,16.96,20.22,21.98,23.92,25.0,25.0,25.0
10.04,12.52,14.34,18.24,20.24,21.88,23.62,25.0,25.0,25.0
10.14,12.98,14.46,17.6,20.14,21.5,23.62,25.0,25.0,25.0
9.88,12.94,14.82,17.5,19.04,22.14,23.56,25.0,25.0,25.0
10.56,12.9,14.86,17.34,19.64,21.84,23.74,25.0,25.0,25.0
10.06,12.64,14.84,17.6,19.5,22.06,23.94,25.0,25.0,25.0
9.98,13.36,14.4,17.18,19.76,21.92,23.3,25.0,25.0,25.0
10.12,12.96,14.98,17.04,19.56,21.34,23.84,25.0,25.0,25.0
10.48,12.66,14.42,17.12,19.08,21.64,23.54,25.0,25.0,25.0
10.28,13.36,14.82,16.7,19.2,21.76,23.44,25.0,25.0,25.0
