0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
35.1,58.5,77.6,92.3,120.0,126.8,141.2,154.1,165.1,184.0,194.4,210.0,222.3,233.2,245.6,256.2,260.1,266.9,275.0,279.9,287.5,290.4,295.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
38.7,64.9,91.8,102.5,117.6,133.3,138.3,154.4,163.8,180.4,192.3,210.2,221.1,224.5,243.1,252.8,262.6,267.0,271.8,279.7,283.2,291.6,295.3,300.0,300.0,300.0,300.0,300.0,300.0,300.0
43.1,63.0,84.3,98.5,127.1,129.9,149.0,153.9,160.8,180.2,196.6,211.9,222.0,231.0,242.6,249.9,256.5,267.1,275.8,281.7,283.6,289.0,295.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
45.2,69.3,84.9,110.2,123.8,132.0,145.3,155.4,168.2,174.8,196.3,208.6,214.4,230.7,241.2,251.0,256.8,266.9,271.8,276.6,285.7,289.2,295.7,300.0,300.0,300.0,300.0,300.0,300.0,300.0
45.3,62.8,92.0,93.9,123.2,131.5,151.8,155.1,161.4,181.4,197.4,213.1,217.0,231.7,242.0,252.6,257.7,263.6,269.9,280.0,285.1,289.2,295.4,300.0,300.0,300.0,300.0,300.0,300.0,300.0
42.9,66.7,85.0,105.1,117.6,137.1,143.2,153.4,167.6,179.1,190.1,210.1,221.3,234.9,242.6,248.2,261.0,262.8,273.5,279.0,282.8,290.6,295.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
41.9,64.5,80.6,109.0,116.8,139.8,148.0,150.5,162.5,179.5,184.0,204.8,221.2,228.5,240.5,248.2,253.1,267.3,272.0,277.1,285.1,289.9,295.4,300.0,300.0,300.0,300.0,300.0,300.0,300.0
38.5,64.5,80.9,110.0,127.9,136.9,146.9,153.7,165.2,172.5,191.7,200.8,217.7,231.7,237.8,244.4,257.8,265.1,270.8,279.0,285.6,289.2,295.1,300.0,300.0,300.0,300.0,300.0,300.0,300.0
42.4,76.4,88.0,105.1,121.0,142.6,149.8,156.0,164.5,173.1,193.8,205.3,213.6,226.7,247.2,249.6,253.0,267.9,273.0,280.1,283.9,288.1,295.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
42.0,61.7,87.9,107.8,127.0,135.2,142.6,157.5,164.3,178.7,186.8,204.5,218.0,229.3,237.6,247.0,258.7,263.7,269.8,277.3,280.9,290.3,295.8,300.0,300.0,300.0,300.0,300.0,300.0,300.0
44.9,59.8,81.7,100.1,123.5,129.7,148.6,149.4,164.9,181.0,195.8,208.6,218.3,227.4,237.7,252.7,254.4,265.1,274.0,279.9,283.5,291.3,293.6,300.0,300.0,300.0,300.0,300.0,300.0,300.0
45.9,61.1,84.4,106.9,122.9,129.2,138.5,157.4,159.8,176.4,191.8,208.3,217.2,232.9,240.9,249.2,256.7,262.9,271.4,276.8,283.2,289.4,294.6,300.0,300.0,300.0,300.0,300.0,300.0,300.0
44.5,72.3,86.2,98.2,119.3,127.4,143.8,154.9,173.7,176.0,187.4,205.9,214.3,226.7,240.5,247.7,256.0,262.7,268.7,280.8,281.6,290.7,294.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
43.6,63.9,90.2,106.6,121.2,125.3,144.3,154.6,162.2,175.9,190.4,208.4,215.3,227.7,233.2,248.7,254.0,266.4,268.6,278.0,284.7,289.7,294.7,300.0,300.0,300.0,300.0,300.0,300.0,300.0
42.4,60.3,89.2,104.7,118.7,136.0,150.1,155.9,159.9,180.9,189.8,203.6,218.0,230.1,236.0,249.9,256.0,260.3,267.6,279.3,280.4,289.7,294.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
43.3,78.1,91.9,102.9,121.3,132.6,140.3,153.4,164.9,166.7,189.4,206.6,213.8,228.0,240.2,247.8,255.4,264.5,268.3,277.8,285.0,288.4,294.1,300.0,300.0,300.0,300.0,300.0,300.0,300.0
47.2,63.2,90.6,102.2,121.8,129.3,145.1,156.1,161.0,174.4,189.5,202.2,217.8,232.1,234.8,249.4,255.3,260.3,270.5,276.1,282.7,287.8,294.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
44.2,62.6,93.6,102.6,126.3,135.7,147.4,149.0,167.6,176.4,190.3,199.5,216.6,229.2,238.4,241.5,256.5,261.7,266.3,275.4,284.0,288.8,293.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
43.2,66.1,80.5,112.4,113.6,143.8,146.2,146.9,161.8,174.2,191.9,203.1,213.1,226.1,233.7,245.7,252.7,261.8,271.4,277.6,283.2,289.2,295.4,300.0,300.0,300.0,300.0,300.0,300.0,300.0
46.0,67.9,84.8,103.5,123.6,131.8,152.4,154.7,159.7,175.5,189.0,202.3,211.4,229.7,236.7,247.4,253.7,265.2,270.2,275.0,282.5,289.9,294.7,300.0,300.0,300.0,300.0,300.0,300.0,300.0
45.3,62.5,87.7,103.6,133.1,134.2,153.7,152.9,163.0,173.5,183.8,198.0,206.2,224.5,233.4,244.3,253.5,260.1,267.0,272.5,280.9,288.2,296.3,300.0,300.0,300.0,300.0,300.0,300.0,300.0
46.6,69.2,85.7,109.3,126.0,127.5,140.7,155.8,162.2,180.6,190.2,201.4,211.5,228.4,236.5,243.5,254.9,265.0,269.8,273.9,282.1,289.3,293.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
41.6,69.4,91.0,104.0,120.3,137.6,149.1,151.9,160.9,168.1,189.7,208.6,212.3,225.1,237.6,247.2,250.4,261.4,267.2,273.7,282.3,288.1,293.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
43.8,66.8,82.4,104.0,115.7,132.2,137.9,148.9,160.6,173.5,184.7,201.6,213.0,223.7,237.9,244.6,254.6,258.6,267.4,276.8,281.9,287.4,294.6,300.0,300.0,300.0,300.0,300.0,300.0,300.0
45.8,65.9,87.6,99.2,121.3,134.8,139.5,155.3,162.3,171.8,183.4,200.9,213.1,226.4,232.4,239.9,250.0,261.6,266.4,278.2,281.3,290.4,294.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
46.9,66.3,84.2,100.1,124.4,140.5,144.9,154.4,162.4,173.7,190.3,200.2,207.6,222.7,230.2,240.2,248.9,258.4,265.3,278.0,278.5,287.8,294.6,300.0,300.0,300.0,300.0,300.0,300.0,300.0
41.5,61.6,79.6,99.7,124.4,131.7,140.2,151.3,160.6,172.0,186.5,195.0,212.1,224.6,232.5,237.4,250.4,260.7,266.1,272.9,280.0,288.4,293.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
43.3,63.9,81.8,102.0,123.0,128.0,139.3,153.8,161.2,171.1,185.5,196.7,209.6,223.4,234.3,240.6,248.2,257.5,268.1,273.1,282.0,288.5,294.4,300.0,300.0,300.0,300.0,300.0,300.0,300.0
43.5,60.7,80.0,112.2,120.5,131.8,141.1,151.9,158.7,173.8,186.3,198.4,208.8,219.6,232.7,239.4,251.7,262.4,268.4,274.9,282.1,286.0,293.3,300.0,300.0,300.0,300.0,300.0,300.0,300.0
39.1,65.7,88.0,102.4,123.3,137.0,146.9,152.0,161.1,172.4,183.5,200.7,209.9,223.7,230.4,246.4,248.8,259.5,265.7,270.4,278.5,288.9,294.6,300.0,300.0,300.0,300.0,300.0,300.0,300.0
