0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
19.4,20.58,19.16,20.24,20.42,20.52,20.26,18.86,19.52,18.76,20.36,19.02,19.82,19.48,19.58,19.42,20.38,20.06,19.58,19.68,19.38,19.02,19.14,19.74,21.32,20.62,18.4,18.9,19.44,19.2,19.52,20.8,19.7,19.9,21.44,20.52,20.3,19.8,20.54,19.1,20.22,20.28,21.26,19.58,20.54,18.96,20.46,19.62,20.12,19.54,19.9,19.76,20.34,19.58,19.2,19.54,19.2,21.02,20.96,20.88,20.12,19.12,20.54,20.46,19.54,19.76,19.56,19.46,19.3,21.02,19.46,19.48,19.52,19.4,19.34,19.9,19.44,19.88,19.36,20.08,19.04,19.52,21.02,20.62,19.18,19.82,19.48,20.34,19.74,20.5,21.1,20.06,19.36,19.42,20.76,21.74,20.0,19.98,19.1,20.34
28.78,30.3,29.26,30.44,29.58,29.3,29.68,28.24,29.34,29.48,29.74,30.64,29.22,27.96,29.34,29.92,30.78,30.42,29.06,27.26,29.86,31.06,29.72,30.4,28.86,28.62,29.72,30.46,30.54,29.98,30.56,29.82,30.4,30.24,29.98,29.22,29.04,30.12,30.36,29.46,29.9,29.94,29.22,29.36,30.52,30.36,29.92,30.74,30.28,32.12,29.56,29.54,30.8,29.48,30.26,29.44,29.54,30.64,29.36,29.14,30.34,30.36,30.12,30.82,29.94,29.7,28.86,31.04,31.08,29.9,28.94,29.68,28.96,30.84,30.98,31.06,29.96,29.1,28.98,30.14,28.48,30.12,30.82,29.88,31.34,29.4,30.18,30.34,29.72,30.84,28.96,30.26,30.96,30.66,28.96,30.4,30.3,30.24,30.82,29.68
36.42,39.62,39.32,40.1,38.5,39.6,42.0,39.56,39.3,39.78,40.04,38.6,40.38,40.42,39.42,39.72,40.0,38.78,40.58,39.84,38.78,41.14,40.68,39.66,39.8,39.04,41.62,41.1,40.2,39.86,41.66,38.72,39.62,39.36,39.84,38.28,39.6,38.78,38.58,40.38,40.62,40.12,40.3,41.7,38.3,40.32,40.92,39.42,40.06,39.96,40.16,39.26,39.98,39.72,39.6,39.9,38.08,38.8,40.24,40.34,39.42,40.28,41.3,39.64,41.46,40.04,40.02,41.32,39.08,39.86,38.34,40.16,40.26,40.36,39.7,39.88,41.54,40.4,40.9,41.42,40.2,41.16,40.36,38.92,40.68,38.68,39.6,40.98,40.46,39.92,40.78,39.32,39.16,39.62,40.94,40.9,39.9,39.7,40.38,39.94
47.7,48.84,48.44,50.74,50.82,47.7,49.84,47.56,49.9,51.14,48.22,48.0,49.38,50.1,50.16,49.4,49.94,49.16,49.1,51.02,49.54,50.42,51.04,48.26,48.3,49.48,50.36,50.7,49.1,51.08,48.54,49.68,51.26,50.82,50.46,50.0,47.26,49.02,49.42,49.94,50.0,47.08,49.48,49.8,50.14,48.6,50.24,49.24,50.4,52.0,51.34,51.18,50.56,52.76,50.66,50.06,50.18,50.3,50.26,50.14,51.34,52.14,50.1,49.08,48.72,49.36,49.94,49.04,50.6,49.46,49.72,50.12,50.56,48.82,49.4,48.72,49.96,50.0,50.9,49.22,49.8,51.16,52.14,51.52,49.76,50.3,50.52,50.64,50.22,47.88,48.84,49.3,50.94,50.32,49.4,50.0,49.62,49.52,49.04,51.26
57.12,61.96,58.6,57.3,58.74,57.0,60.52,58.7,59.48,62.08,60.84,58.52,60.52,58.9,59.26,60.6,59.64,59.44,59.54,60.46,58.22,59.56,59.26,60.0,59.82,60.8,60.78,59.56,60.64,59.52,59.74,59.94,59.64,58.0,60.48,58.92,59.26,60.08,58.9,58.54,60.52,59.18,58.82,58.52,58.6,58.8,59.5,60.08,60.8,60.08,60.4,58.14,59.74,61.24,60.44,60.1,57.14,59.68,61.5,60.1,59.9,60.54,60.96,58.44,59.38,59.68,59.6,60.5,59.1,59.04,59.26,58.8,59.24,60.84,58.92,59.92,59.86,59.64,58.1,59.98,59.82,59.42,59.98,59.62,61.94,59.66,60.24,59.4,60.2,60.0,62.0,58.76,60.4,61.64,61.66,58.5,59.94,60.56,60.94,59.1
72.46,67.58,66.02,70.72,71.62,68.52,70.58,69.54,67.12,65.12,66.32,68.6,68.58,67.78,69.58,67.46,69.38,66.22,68.54,67.08,68.56,68.34,68.32,67.3,70.82,68.9,68.42,68.66,68.86,68.66,67.1,68.46,69.86,70.92,71.76,68.72,69.06,70.68,66.88,68.68,67.9,70.3,68.94,69.64,69.64,67.3,69.94,67.38,68.22,69.92,69.66,69.68,67.78,68.26,66.16,68.8,69.8,69.6,70.06,67.06,68.96,70.64,70.2,68.98,72.38,70.96,70.38,71.1,70.0,71.64,69.22,70.5,69.26,70.46,69.42,68.9,70.0,68.72,70.7,71.88,69.1,70.3,69.42,68.2,72.54,71.84,68.14,68.34,67.9,70.12,69.82,70.38,68.44,68.86,69.5,70.4,72.08,70.28,71.02,71.0
81.42,74.72,75.12,81.98,75.74,80.6,77.92,80.68,80.1,79.3,76.44,77.62,77.78,78.88,79.06,79.26,80.08,77.6,79.76,76.2,80.46,78.38,77.72,79.52,78.2,78.24,79.3,76.22,80.34,78.74,78.16,78.56,79.06,79.52,77.6,80.38,78.86,78.86,80.1,78.66,78.02,79.4,80.94,78.32,77.88,78.68,79.58,78.38,79.46,77.54,80.54,78.5,79.18,79.74,78.88,81.08,80.08,77.42,78.3,79.98,78.34,78.5,81.56,79.96,79.06,78.54,78.76,80.76,79.86,78.78,80.02,82.38,81.74,78.8,79.44,79.4,80.18,81.28,78.7,79.9,80.56,82.24,77.48,80.34,79.78,79.66,79.68,79.78,78.12,80.08,79.84,79.68,80.98,79.58,79.12,78.36,80.48,77.4,78.48,81.0
86.6,87.8,90.04,85.82,82.2,89.72,90.82,84.3,89.42,88.68,85.22,85.24,86.6,89.92,90.24,86.94,88.92,88.96,87.7,88.28,86.54,90.58,90.76,87.32,87.64,90.86,88.66,88.22,90.04,90.54,88.36,86.66,88.0,88.98,89.4,88.24,88.14,87.24,86.54,87.32,89.78,90.04,89.96,90.72,89.64,88.24,87.84,88.42,87.66,88.8,88.48,89.36,86.62,89.26,87.92,89.64,88.92,87.54,90.58,91.6,91.62,89.5,89.86,89.34,90.18,92.88,91.16,88.96,89.34,88.02,90.56,88.58,91.88,90.52,91.38,89.92,87.38,91.14,90.72,91.8,89.78,90.22,91.1,90.0,88.88,90.66,88.26,88.78,90.42,89.86,90.08,90.46,90.42,90.58,90.04,89.66,90.98,90.06,91.04,90.6
99.16,101.36,95.64,101.04,99.54,96.74,100.6,99.4,96.4,98.36,95.38,97.58,99.02,97.36,98.48,97.08,96.92,98.68,98.5,100.82,100.08,97.74,93.94,96.66,101.04,96.78,98.56,98.2,96.14,99.5,97.54,96.22,96.68,99.48,97.6,97.14,100.18,99.0,99.04,98.94,98.34,101.46,101.28,101.42,99.62,98.06,98.5,98.82,99.46,99.14,97.98,97.08,99.74,99.34,99.4,99.34,99.88,98.86,99.16,97.36,98.66,99.84,103.44,100.5,97.18,100.48,103.3,100.4,98.94,99.44,97.82,99.6,99.78,99.54,98.88,100.36,100.7,102.38,99.82,101.04,102.42,100.02,97.8,100.22,100.92,98.9,102.72,97.24,100.5,101.18,99.04,101.28,102.24,102.42,99.02,100.14,100.7,100.28,100.94,99.2
107.14,102.8,107.2,105.26,107.08,108.4,109.78,110.16,106.54,103.4,108.24,109.08,108.46,110.18,106.0,107.58,105.54,106.6,107.54,109.06,106.94,106.92,109.18,108.72,106.58,108.26,106.2,106.04,106.76,107.66,108.36,108.24,107.04,107.88,108.54,108.9,109.56,107.38,107.74,107.7,110.14,110.24,106.46,111.7,108.48,107.68,111.84,107.0,108.5,107.12,112.06,109.58,110.4,109.86,110.34,106.02,106.52,108.04,108.02,108.94,108.1,108.02,109.42,108.46,109.22,110.78,111.12,108.06,107.96,108.7,110.0,109.2,112.64,109.62,110.58,106.76,109.66,109.86,109.28,109.32,109.14,109.54,107.2,110.44,110.94,107.64,107.82,109.16,109.42,111.4,107.58,106.28,107.32,110.7,109.46,108.1,108.8,109.48,110.7,108.5
