0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
8.5,20.48,30.72,44.64,45.9,63.02,66.58,89.7,87.3,99.26,112.4,123.56,122.94,136.12,141.6,162.34,175.14,180.18,210.38,221.68,195.04,220.34,224.08,263.68,246.6,258.1,283.26,285.42,289.6,298.92,317.92,323.08,328.62,357.52,363.0,344.5,386.26,375.92,398.26,391.38,442.52,417.12,409.86,434.06,432.38,448.22,457.52,474.8,468.32,501.22,501.86,509.52,537.6,535.92,542.3,545.36,602.7,594.94,593.08,584.26,612.18,611.9,634.82,663.46,647.72,640.04,658.5,664.96,678.1,696.0,719.16,726.2,720.92,723.7,753.94,754.54,769.18,784.1,789.86,807.06,799.76,834.2,825.62,826.26,850.52,852.42,844.18,882.64,883.08,900.14,918.34,913.14,926.52,934.48,942.76,969.36,975.76,982.74,992.32,1000.0
9.36,36.0,39.66,56.3,60.96,71.34,75.42,94.1,103.76,108.98,122.36,130.08,149.6,163.6,150.9,165.02,184.24,182.7,204.46,219.22,223.94,223.5,252.92,246.62,258.0,244.5,289.62,292.18,284.78,287.52,315.3,316.96,333.94,356.68,365.7,368.82,369.02,392.44,400.32,409.88,408.9,437.78,434.3,438.14,454.64,461.8,496.44,468.5,490.94,506.78,509.02,526.1,545.22,543.18,572.46,575.06,593.0,580.92,606.66,613.18,622.64,605.24,640.78,647.84,625.9,688.56,693.06,692.16,701.2,698.88,723.6,726.44,741.0,747.06,755.44,785.38,778.0,804.22,788.96,812.2,834.98,840.76,838.78,868.0,852.34,877.2,885.06,887.78,902.7,906.78,911.76,928.44,945.52,957.36,958.94,976.44,975.2,985.72,1000.0,1000.0
10.12,25.12,40.88,61.24,69.58,73.18,85.0,97.96,103.98,123.14,137.48,137.52,138.16,166.3,169.44,172.48,205.22,184.88,206.26,242.42,235.66,249.38,249.12,275.96,269.48,277.7,277.78,312.26,312.14,301.34,353.28,336.92,343.7,375.68,353.64,386.76,401.36,409.84,394.94,432.02,433.42,441.24,423.9,445.5,458.44,487.06,487.34,487.4,499.76,525.64,530.72,525.6,562.7,564.0,557.48,561.52,579.48,619.14,612.14,608.4,634.3,639.8,656.0,659.66,684.16,676.76,708.28,705.3,722.46,717.28,734.78,745.42,755.42,761.76,761.18,771.22,802.58,805.22,805.6,837.62,834.12,853.82,843.44,864.16,862.8,874.42,866.82,899.06,898.74,923.06,935.0,950.44,949.0,966.32,960.14,979.94,990.94,1000.0,1000.0,1000.0
10.74,28.86,43.76,73.72,81.74,95.98,103.2,112.46,110.2,127.16,140.18,142.7,162.14,183.72,176.68,196.64,188.1,203.44,209.56,227.52,233.0,244.76,247.44,270.74,269.94,281.08,316.28,295.68,305.96,331.86,338.6,342.02,346.98,368.8,381.18,372.62,383.44,401.12,418.04,437.94,451.54,439.96,447.22,493.22,455.3,512.32,507.6,513.94,514.08,538.86,549.42,561.12,555.08,563.46,589.98,574.52,583.78,601.6,612.72,623.04,652.74,647.04,646.8,682.62,690.02,696.74,705.68,705.58,740.42,731.64,725.34,748.42,794.2,758.74,807.18,788.04,793.56,785.18,812.94,833.92,841.94,849.38,863.54,882.58,865.6,902.5,909.62,909.58,928.14,918.86,942.52,945.8,962.24,962.4,977.22,993.16,1000.0,1000.0,1000.0,1000.0
10.98,30.08,46.5,75.4,90.3,99.18,99.76,123.96,135.74,139.92,148.28,157.18,159.74,184.64,183.74,198.66,216.46,221.6,219.16,249.62,227.96,249.92,265.38,281.8,286.06,299.52,320.14,312.78,332.0,356.7,353.52,368.92,377.42,386.66,383.24,381.2,388.9,419.68,427.92,448.12,447.36,488.04,472.12,472.76,492.14,483.22,497.92,520.36,543.44,535.2,576.26,541.22,569.0,586.24,602.26,589.28,603.32,634.4,620.44,643.8,633.76,666.12,659.3,694.92,679.14,711.42,695.32,734.42,722.3,751.16,739.88,751.92,763.82,768.66,806.06,795.98,818.2,840.5,831.56,845.82,869.36,867.48,862.16,866.2,891.0,894.6,917.86,919.38,940.0,937.7,956.82,964.52,973.72,970.7,990.48,1000.0,1000.0,1000.0,1000.0,1000.0
8.42,23.58,47.9,76.24,87.94,98.02,120.14,128.5,137.44,155.54,169.12,160.16,181.32,190.52,208.68,216.34,218.98,238.36,235.24,267.68,257.74,262.26,270.62,294.9,316.24,307.28,337.12,322.84,343.14,331.1,369.42,370.66,375.1,402.74,398.76,393.18,413.42,426.66,456.5,453.64,476.78,476.56,487.62,492.14,488.96,489.22,540.44,540.44,526.82,548.14,535.36,609.8,582.82,604.48,579.8,581.58,628.92,625.44,620.8,651.14,656.46,676.28,722.0,668.6,699.8,694.98,708.32,728.26,714.04,746.56,747.12,791.58,774.8,801.0,786.46,835.88,827.26,817.7,853.66,822.84,855.34,891.32,894.26,887.78,894.56,914.7,921.22,922.86,943.04,949.72,962.16,970.02,976.62,989.72,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
10.0,28.3,45.24,75.64,85.64,100.68,136.0,143.32,153.22,163.74,179.74,182.84,185.9,202.24,216.7,211.28,220.48,232.78,260.68,260.52,277.74,267.84,275.64,308.12,292.8,328.56,325.34,316.34,338.12,354.72,384.02,362.32,386.22,406.42,415.22,434.36,444.44,445.38,446.54,448.64,463.72,466.3,506.38,538.94,523.98,498.78,547.5,535.88,532.12,541.96,569.86,601.48,583.2,590.88,614.9,629.18,657.82,630.16,651.22,667.18,681.14,673.9,692.26,688.6,704.48,705.3,735.66,757.6,747.3,768.42,763.3,764.44,804.44,783.7,811.96,838.3,818.06,859.72,851.14,854.3,836.8,859.5,896.2,904.78,905.74,915.24,931.84,941.78,950.42,959.64,964.02,977.22,990.02,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
8.8,31.16,50.58,69.5,93.22,107.52,133.82,158.42,143.24,174.78,177.94,185.52,196.66,198.56,212.82,233.06,246.84,260.08,251.82,272.44,282.86,280.32,284.6,300.44,315.36,349.04,338.88,336.02,352.48,364.38,384.82,381.62,387.26,416.54,414.88,436.98,447.6,460.66,449.24,482.24,469.3,491.24,488.06,507.6,519.54,526.06,538.74,549.58,572.26,607.62,615.2,577.32,593.86,619.88,619.26,627.8,656.02,654.98,659.16,664.02,688.14,687.98,709.52,717.14,734.4,728.72,727.68,729.98,763.0,777.92,767.7,788.86,802.86,809.22,829.14,817.02,853.42,847.82,861.72,868.98,867.04,889.76,905.58,885.54,938.54,936.94,946.9,946.3,965.86,975.94,983.2,991.22,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
12.92,28.3,59.02,69.18,98.26,96.52,126.16,152.8,155.82,176.48,198.88,202.78,207.02,216.74,216.46,245.32,251.14,250.14,278.64,284.04,277.3,311.02,325.9,337.08,327.78,340.94,330.64,353.72,371.8,380.84,385.46,398.52,410.3,412.18,416.02,438.9,451.18,467.86,463.1,462.46,490.22,511.44,506.66,532.12,527.98,542.58,537.92,546.02,576.12,572.82,582.0,601.24,598.7,623.4,629.0,657.7,653.78,677.36,662.0,679.34,687.6,691.96,685.62,711.9,718.64,756.46,751.74,774.6,779.4,779.96,794.34,775.74,821.34,802.54,820.32,830.86,853.78,852.18,867.08,883.42,874.6,914.84,906.76,919.18,926.02,937.84,947.06,962.2,972.12,972.26,984.86,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
7.38,33.46,53.56,72.08,91.28,108.74,124.22,152.68,173.3,184.2,209.4,210.22,234.16,221.18,244.12,258.44,272.48,277.02,279.92,294.76,303.62,319.98,314.4,344.36,339.54,354.74,380.06,359.62,386.74,397.6,403.74,411.96,439.94,418.92,443.5,449.42,440.94,465.22,506.58,506.02,488.2,513.8,508.0,534.08,533.32,554.1,542.08,561.14,583.7,591.12,585.16,595.24,633.74,620.6,639.46,657.76,649.8,679.26,670.4,672.26,698.48,723.92,693.56,715.5,715.68,762.72,774.36,775.16,787.22,816.34,802.82,802.0,835.48,838.54,833.0,862.22,845.68,876.02,867.14,902.12,896.12,923.96,927.28,924.04,949.64,959.14,961.5,973.42,978.44,986.8,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
