0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
28.7,50.12,68.34,86.26,110.14,126.42,145.76,172.26,177.48,214.56,229.52,249.34,273.94,288.1,303.5,334.64,341.76,352.8,373.48,380.8,395.22,405.32,412.64,420.56,434.44,457.14,467.6,452.84,496.44,452.92,500.46,508.1,489.04,511.64,521.42,518.9,536.54,559.22,583.66,538.3,588.34,557.24,571.28,574.18,610.98,606.1,629.26,673.32,644.1,633.04,660.86,644.24,669.8,706.68,704.42,700.88,696.46,698.62,714.38,733.68,762.5,782.98,807.68,786.06,784.56,786.32,813.0,850.04,857.02,861.66,886.62,886.68,930.38,889.1,924.92,923.74,948.92,974.12,984.7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
31.98,51.12,69.28,89.2,107.0,129.18,147.2,159.3,182.28,209.3,221.64,241.78,262.1,274.56,300.7,321.58,343.46,361.42,389.32,386.36,400.64,403.4,409.48,408.28,437.06,445.52,455.38,463.86,463.4,501.3,481.5,490.86,480.64,512.7,507.86,537.96,533.4,537.48,547.94,560.92,544.9,593.54,578.76,588.72,602.86,601.96,621.0,622.44,633.62,638.52,651.9,644.58,680.46,688.84,691.56,698.24,708.72,720.8,723.98,722.52,753.24,741.56,777.76,778.64,808.72,812.72,802.34,821.16,833.3,854.36,876.78,887.36,890.44,911.54,903.5,939.4,963.7,972.26,980.82,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
30.54,49.12,69.82,88.24,109.56,127.06,147.66,165.0,180.24,209.66,228.82,249.42,256.74,293.8,291.14,316.28,334.7,363.14,385.62,384.62,398.28,406.78,423.14,423.12,432.64,434.52,445.8,452.2,465.38,478.24,496.6,497.62,491.14,516.96,520.68,546.84,513.92,525.28,552.44,552.72,546.16,575.16,569.4,596.7,584.02,603.76,613.56,622.6,637.9,652.96,659.12,663.94,656.04,678.08,678.06,687.5,710.06,709.92,710.42,750.18,741.58,766.12,747.6,789.54,802.02,796.5,826.64,824.82,847.74,850.28,861.32,881.2,899.3,921.26,919.14,947.14,959.44,974.58,982.96,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
29.48,49.76,70.08,88.04,107.26,129.6,149.34,169.58,180.82,204.4,222.66,238.3,258.88,276.86,297.8,323.3,346.36,365.6,377.2,380.88,400.28,411.5,415.28,431.8,448.54,448.58,448.32,459.0,464.84,480.06,480.66,486.18,501.8,484.92,523.02,527.96,533.78,556.08,541.3,552.04,557.92,573.64,580.02,596.66,598.74,609.78,601.76,630.7,644.84,639.4,645.72,651.32,663.06,690.66,687.0,714.76,707.94,708.26,725.24,729.16,745.8,762.26,770.0,776.16,790.22,800.1,824.52,835.64,849.86,850.02,874.36,870.86,894.4,906.2,923.86,928.24,951.72,964.3,983.84,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
30.5,47.66,70.46,89.26,105.84,128.3,148.58,167.36,185.94,208.3,221.72,239.56,255.62,284.68,297.3,319.44,344.12,352.32,380.04,387.1,399.08,410.0,413.0,420.2,435.36,442.54,452.08,468.32,474.14,471.88,475.14,497.72,501.78,500.98,516.8,533.7,530.86,539.22,552.06,549.34,575.96,571.32,587.56,582.36,598.04,611.76,633.42,633.86,635.7,641.76,639.26,667.34,669.04,674.64,695.02,688.94,707.44,727.16,721.3,733.82,741.56,771.96,773.84,806.84,794.68,816.74,807.64,841.02,841.68,866.08,870.52,874.52,897.64,920.08,921.1,948.36,962.94,960.08,985.34,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
30.36,51.38,69.68,87.12,107.1,129.56,146.88,167.42,192.14,203.66,228.24,248.2,262.38,281.42,302.34,319.02,337.14,355.16,383.42,400.08,396.08,407.16,419.2,421.88,430.36,438.28,459.5,461.66,470.68,475.0,490.68,490.88,499.4,504.18,516.72,525.66,536.16,550.16,537.22,567.06,567.88,570.94,585.08,595.38,607.84,611.3,616.24,623.68,632.42,646.48,660.16,648.18,669.66,681.74,686.4,692.74,689.84,717.18,727.84,733.04,759.64,757.5,770.22,780.6,801.4,804.14,818.96,830.78,838.06,851.84,859.72,887.22,907.02,907.38,921.88,939.06,958.46,974.2,982.16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
30.08,52.42,69.22,91.12,107.52,129.44,151.98,171.8,183.68,203.76,225.2,247.4,262.84,290.5,301.4,319.98,343.68,355.38,382.46,390.26,394.86,406.88,410.8,431.16,432.54,440.28,450.62,461.8,468.08,478.8,491.3,493.56,495.24,507.96,517.0,524.18,538.0,546.6,552.9,560.7,566.24,559.12,604.48,579.74,596.9,595.16,610.34,622.7,630.06,644.58,653.48,662.72,675.56,678.1,688.94,708.54,717.12,720.34,729.28,740.44,751.76,752.78,778.52,785.02,797.7,812.74,823.38,831.08,845.18,846.84,874.08,891.1,900.82,913.7,920.8,934.96,952.26,965.64,983.68,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
30.46,50.1,70.68,89.2,109.6,131.14,142.5,164.54,186.34,199.28,222.96,243.54,264.54,280.84,305.08,312.74,339.46,365.04,374.94,388.96,406.62,409.22,416.68,423.92,437.86,444.92,454.42,462.44,466.84,473.4,479.66,501.28,504.2,513.58,518.5,525.98,525.92,543.4,548.16,549.98,563.78,572.5,568.18,596.7,601.12,608.54,615.02,622.56,627.04,635.7,644.76,668.1,669.3,670.32,692.26,693.48,718.52,725.9,730.94,735.24,743.9,776.86,777.56,789.1,789.98,802.24,819.22,830.74,840.8,864.36,873.84,882.06,897.56,913.68,934.68,943.66,949.94,973.66,986.26,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
31.32,48.44,72.68,89.66,109.96,127.46,144.74,165.92,181.86,203.88,221.22,244.5,259.58,279.94,300.76,319.44,331.92,360.98,377.26,390.62,400.64,412.2,417.32,428.42,439.02,443.18,448.0,463.0,465.7,480.72,478.24,495.58,497.5,508.64,524.3,519.94,531.16,544.2,554.72,560.66,576.84,577.52,580.18,583.66,597.14,608.88,611.34,625.82,636.08,641.84,660.2,662.88,672.28,677.16,692.8,692.56,716.42,721.56,721.4,752.2,756.88,774.46,788.8,789.7,791.14,804.06,814.54,827.72,854.54,860.42,874.06,887.56,900.54,908.0,929.06,941.68,953.68,968.1,983.28,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
29.18,52.88,70.56,91.68,108.78,127.88,146.3,163.9,186.7,202.52,225.72,241.32,257.26,281.92,303.68,322.3,346.68,360.14,377.88,390.72,402.78,406.1,418.18,423.14,437.6,441.16,446.8,462.68,462.1,478.42,488.14,489.82,503.9,506.76,514.04,523.2,538.82,535.0,550.86,566.02,557.84,570.08,585.3,586.84,597.84,605.22,621.1,623.6,621.88,645.38,649.2,666.98,680.1,672.02,693.56,697.56,714.44,726.02,738.04,750.72,750.14,766.34,784.34,777.38,795.58,804.74,825.56,832.78,852.02,858.5,874.58,886.96,902.86,908.2,931.9,934.14,956.92,970.86,986.3,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
