0,1,2,3,4,5,6,7,8,9
8.12,10.54,14.18,16.92,20.22,21.98,23.92,25.0,25.0,25.0
7.94,10.34,13.16,18.24,20.24,21.88,23.62,25.0,25.0,25.0
7.96,10.82,13.54,17.56,20.14,21.5,23.62,25.0,25.0,25.0
7.98,10.26,14.36,17.48,19.04,22.14,23.56,25.0,25.0,25.0
7.4,10.5,13.46,17.16,19.64,21.84,23.74,25.0,25.0,25.0
7.82,9.98,13.24,17.46,19.48,22.06,23.94,25.0,25.0,25.0
7.7,10.22,13.76,17.04,19.76,21.92,23.3,25.0,25.0,25.0
6.98,10.9,13.48,16.78,19.54,21.34,23.84,25.0,25.0,25.0
7.04,10.56,13.58,17.04,19.08,21.64,23.54,25.0,25.0,25.0
7.4,10.68,13.54,16.52,19.2,21.76,23.44,25.0,25.0,25.0
