0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
15.0,7.0,30.0,50.0,76.0,88.0,123.0,144.0,154.0,171.0,190.0,202.0,226.0,245.0,262.0,288.0,284.0,318.0,333.0,397.0,398.0,423.0,426.0,458.0,483.0,514.0,507.0,542.0,533.0,583.0,596.0,601.0,611.0,633.0,649.0,623.0,629.0,686.0,673.0,695.0,702.0,707.0,712.0,712.0,708.0,740.0,759.0,781.0,769.0,790.0,786.0,790.0,791.0,821.0,832.0,817.0,847.0,845.0,882.0,878.0,899.0,893.0,915.0,917.0,922.0,940.0,960.0,953.0,973.0,975.0,986.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
7.0,2.0,25.0,56.0,80.0,86.0,111.0,119.0,147.0,172.0,190.0,197.0,229.0,235.0,272.0,292.0,318.0,326.0,320.0,364.0,370.0,376.0,441.0,429.0,469.0,508.0,508.0,511.0,517.0,596.0,578.0,595.0,604.0,616.0,652.0,657.0,637.0,663.0,680.0,668.0,683.0,674.0,713.0,735.0,753.0,731.0,744.0,775.0,771.0,752.0,798.0,795.0,813.0,824.0,818.0,841.0,858.0,855.0,883.0,878.0,887.0,907.0,919.0,913.0,923.0,937.0,936.0,959.0,961.0,983.0,989.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
12.0,13.0,31.0,49.0,70.0,98.0,102.0,176.0,149.0,165.0,172.0,208.0,240.0,245.0,270.0,300.0,338.0,322.0,357.0,379.0,389.0,415.0,464.0,425.0,442.0,487.0,507.0,527.0,559.0,561.0,578.0,618.0,620.0,625.0,616.0,625.0,655.0,647.0,667.0,700.0,674.0,727.0,725.0,720.0,727.0,755.0,750.0,715.0,772.0,782.0,778.0,799.0,804.0,830.0,857.0,830.0,858.0,863.0,874.0,868.0,881.0,903.0,910.0,913.0,925.0,950.0,936.0,967.0,964.0,973.0,990.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
8.0,9.0,24.0,41.0,76.0,89.0,108.0,131.0,150.0,181.0,191.0,211.0,247.0,274.0,297.0,289.0,307.0,337.0,347.0,391.0,369.0,401.0,445.0,462.0,463.0,478.0,501.0,521.0,534.0,546.0,575.0,602.0,582.0,625.0,620.0,635.0,629.0,669.0,674.0,656.0,669.0,706.0,688.0,719.0,750.0,735.0,762.0,773.0,777.0,790.0,774.0,798.0,807.0,814.0,841.0,851.0,856.0,849.0,869.0,865.0,891.0,896.0,904.0,913.0,922.0,935.0,956.0,962.0,967.0,974.0,993.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
13.0,13.0,38.0,47.0,74.0,86.0,120.0,124.0,140.0,174.0,189.0,216.0,240.0,236.0,263.0,284.0,302.0,363.0,373.0,359.0,373.0,416.0,414.0,478.0,492.0,478.0,501.0,521.0,547.0,573.0,586.0,599.0,599.0,614.0,651.0,639.0,658.0,689.0,687.0,653.0,688.0,691.0,728.0,746.0,753.0,733.0,745.0,763.0,750.0,788.0,771.0,820.0,807.0,828.0,845.0,819.0,856.0,839.0,883.0,887.0,892.0,905.0,904.0,913.0,927.0,934.0,946.0,947.0,954.0,975.0,990.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
7.0,11.0,46.0,48.0,54.0,95.0,125.0,121.0,145.0,173.0,218.0,219.0,221.0,261.0,260.0,297.0,319.0,316.0,358.0,387.0,395.0,403.0,414.0,439.0,446.0,484.0,495.0,539.0,559.0,579.0,593.0,619.0,599.0,616.0,631.0,666.0,663.0,647.0,662.0,686.0,680.0,693.0,700.0,724.0,703.0,727.0,751.0,747.0,783.0,799.0,808.0,779.0,813.0,818.0,821.0,843.0,842.0,867.0,865.0,888.0,890.0,891.0,907.0,920.0,921.0,938.0,950.0,963.0,969.0,985.0,991.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
12.0,18.0,23.0,42.0,67.0,82.0,105.0,115.0,158.0,164.0,217.0,193.0,231.0,244.0,286.0,287.0,296.0,304.0,358.0,380.0,377.0,425.0,445.0,436.0,469.0,482.0,494.0,538.0,530.0,561.0,611.0,617.0,612.0,617.0,639.0,637.0,657.0,650.0,699.0,693.0,682.0,684.0,710.0,731.0,743.0,745.0,737.0,750.0,781.0,806.0,810.0,777.0,816.0,834.0,817.0,839.0,862.0,850.0,863.0,893.0,887.0,898.0,905.0,926.0,929.0,943.0,952.0,948.0,971.0,976.0,986.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
9.0,3.0,30.0,59.0,59.0,82.0,121.0,138.0,140.0,179.0,185.0,226.0,247.0,242.0,273.0,265.0,285.0,323.0,352.0,351.0,393.0,422.0,445.0,429.0,450.0,505.0,509.0,516.0,540.0,589.0,576.0,623.0,598.0,624.0,636.0,667.0,644.0,666.0,666.0,671.0,713.0,703.0,680.0,715.0,729.0,745.0,744.0,750.0,748.0,775.0,795.0,799.0,778.0,838.0,821.0,835.0,847.0,838.0,876.0,869.0,883.0,882.0,921.0,909.0,923.0,933.0,957.0,940.0,977.0,985.0,990.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
12.0,8.0,34.0,41.0,67.0,95.0,116.0,144.0,150.0,176.0,193.0,190.0,230.0,233.0,262.0,282.0,312.0,341.0,361.0,363.0,382.0,420.0,438.0,429.0,489.0,482.0,522.0,519.0,552.0,568.0,575.0,599.0,629.0,651.0,646.0,650.0,646.0,667.0,676.0,707.0,693.0,687.0,686.0,727.0,735.0,753.0,766.0,751.0,765.0,766.0,792.0,800.0,782.0,812.0,852.0,833.0,868.0,865.0,869.0,885.0,884.0,895.0,914.0,920.0,944.0,954.0,952.0,954.0,967.0,977.0,987.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
9.0,17.0,32.0,37.0,68.0,85.0,131.0,123.0,170.0,175.0,190.0,218.0,216.0,232.0,278.0,285.0,295.0,321.0,351.0,348.0,397.0,436.0,432.0,472.0,479.0,498.0,501.0,537.0,581.0,573.0,590.0,593.0,609.0,599.0,642.0,641.0,661.0,675.0,683.0,661.0,711.0,704.0,735.0,717.0,711.0,744.0,733.0,751.0,753.0,768.0,784.0,812.0,812.0,815.0,814.0,825.0,876.0,840.0,862.0,873.0,913.0,903.0,917.0,927.0,919.0,954.0,953.0,961.0,969.0,979.0,987.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
