0,1,2
19.3,20.42,21.92
30.9,33.34,31.72
32.44,31.4,34.92
41.98,38.24,39.2
45.08,38.8,47.32
47.62,46.02,44.58
40.02,50.1,46.46
49.62,49.06,40.08
40.86,43.04,44.72
67.72,40.46,50.94
45.3,46.26,47.42
53.8,36.96,50.28
46.28,51.74,53.64
43.14,37.06,48.64
38.02,51.02,43.98
27.78,46.9,37.78
23.8,46.78,26.4
46.06,26.12,37.2
17.42,26.86,27.84
30.66,25.0,34.82
34.34,38.74,30.3
31.94,29.72,43.82
33.62,30.74,44.94
48.42,29.56,32.8
54.82,41.54,26.98
33.54,32.22,28.08
47.52,30.32,41.1
42.34,30.92,27.88
25.82,19.62,19.98
22.64,15.3,6.32
22.68,8.56,4.4
18.44,6.16,0.92
9.52,1.96,1.0
7.64,0.0,0.96
3.4,0.12,0.0
2.28,0.0,0.0
1.6,0.0,0.0
0.16,0.0,0.0
0.04,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
