0,1,2
50.52,51.42,52.54
79.98,82.64,82.14
102.1,102.56,104.3
131.5,129.44,131.06
153.06,150.56,159.18
174.88,173.4,173.56
186.9,194.6,194.02
217.7,217.84,208.72
229.14,233.62,232.26
269.42,247.52,257.92
271.02,273.24,276.28
300.16,281.78,299.18
309.94,320.34,321.72
325.76,324.26,333.38
342.78,357.52,351.62
351.3,371.78,364.82
363.3,386.46,374.08
407.34,389.18,405.12
403.5,409.78,413.92
425.46,417.34,432.92
432.92,444.02,438.64
446.86,444.1,461.66
458.56,455.4,473.94
479.14,466.7,468.66
493.24,485.08,475.18
479.04,483.9,488.68
500.96,493.62,507.02
504.32,502.22,499.22
501.06,500.96,503.88
510.56,505.12,502.06
508.14,507.66,511.02
516.36,511.64,518.44
513.16,515.36,522.0
517.72,526.72,532.76
528.16,534.76,539.38
536.56,541.92,549.38
544.72,551.4,561.18
546.04,562.46,574.72
552.94,568.1,581.42
562.52,574.78,590.26
572.58,586.58,600.88
581.26,591.88,605.94
586.44,606.4,622.96
594.3,612.68,629.44
604.48,624.0,642.98
616.16,636.52,648.76
623.92,639.3,658.2
624.42,648.06,667.94
635.06,663.36,677.02
651.44,671.8,689.22
668.7,673.96,696.44
667.9,690.42,705.88
683.56,701.32,718.48
687.56,707.52,728.4
698.56,721.98,735.9
710.78,725.9,753.9
721.0,741.26,756.9
725.54,745.14,768.22
739.0,761.42,776.76
751.28,766.18,789.44
759.16,785.32,800.1
771.06,788.8,805.8
777.58,807.46,819.48
796.94,813.16,832.34
804.98,823.8,843.44
822.4,832.88,853.62
829.12,843.0,862.44
842.02,862.78,872.12
859.28,869.64,883.28
869.0,877.18,893.96
877.42,892.68,904.84
888.92,903.38,913.4
905.44,912.5,926.04
911.46,926.2,933.64
929.66,939.34,943.74
944.66,947.68,957.06
960.2,962.14,967.82
972.24,973.28,978.86
986.58,988.34,989.44
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
